GSE_ID,GSM_ID,GPL,title,MTHFR,TYMS,MTR,MTRR,CYP1A1,GSTM1,GSTT1,GSTP1,TLR2,TLR4,TLR7,TLR9,STAT4
GSE38351,GSM940484,GPL570,Monocytes from RA patient number 1 for testing (RA_1_test),132.7,9.033333333333333,230.14999999999998,327.25,5.0,105.6,48.65,2498.1,4331.2,1012.4,305.55,2.9,17.0
GSE38351,GSM940485,GPL570,Monocytes from RA patient number 18 for testing (RA_18_test),140.98,16.633333333333333,262.95,340.4,3.8,50.3,30.05,1670.0,6041.6,661.6,53.300000000000004,15.0,8.1
GSE38351,GSM940486,GPL570,Monocytes from RA patient number 88 for testing (RA_88_test),132.18,14.233333333333334,227.55,412.95,26.4,26.3,16.35,2423.8,3690.8,817.2,299.75,33.1,52.1
GSE38351,GSM940487,GPL570,Monocytes from RA patient number 98 for testing (RA_98_test),164.92000000000002,5.966666666666668,286.0,348.20000000000005,19.7,51.099999999999994,4.3,3408.7,3279.3,950.0,398.65,17.9,59.2
GSE38351,GSM940488,GPL570,Monocytes from healthy donor number 1 stimulated with TNFα for 1.5 hour,122.81999999999998,8.7,142.04999999999998,276.6,3.1,147.65,48.9,3561.3,10185.1,513.8499999999999,299.25,25.6,289.8
GSE38351,GSM940489,GPL570,Monocytes from healthy donor number 2 stimulated with TNFα for 1.5 hour,82.11999999999999,16.8,164.29999999999998,285.75,26.1,37.9,2.8499999999999996,2641.2,9094.1,524.05,143.85000000000002,3.4,677.2
GSE38351,GSM940490,GPL570,Monocytes from healthy donor number 3 stimulated with TNFα for 1.5 hour,76.58,5.666666666666667,170.89999999999998,286.6,38.7,56.0,54.849999999999994,3844.3,10626.4,403.25000000000006,383.95000000000005,16.2,555.8
GSE38351,GSM940491,GPL570,Monocytes from healthy donor number 1 stimulated with IFNα2a for 1.5 hour,102.96,4.966666666666666,179.15,232.3,17.2,76.15,43.050000000000004,3096.7,2374.2,720.6500000000001,706.0,3.7,47.2
GSE38351,GSM940492,GPL570,Monocytes from healthy donor number 2 stimulated with IFNα2a for 1.5 hour,111.97999999999999,5.933333333333334,217.55,219.29999999999998,7.0,64.35,38.349999999999994,3002.6,2486.0,780.2500000000001,872.05,7.6,51.5
GSE38351,GSM940493,GPL570,Monocytes from healthy donor number 3 stimulated with IFNα2a for 1.5 hour,129.26,10.3,203.55,169.8,1.4,169.2,53.1,3082.5,3867.4,590.3000000000001,336.1,33.7,95.5
GSE38351,GSM940494,GPL570,Monocytes from healthy donor number 4 stimulated with IFNα2a for 1.5 hour,91.68,8.200000000000001,327.2,262.25,2.0,76.25,16.25,3157.3,2244.6,709.7500000000001,964.05,35.0,101.4
GSE38351,GSM940495,GPL570,Monocytes from healthy donor number 5 stimulated with IFNα2a for 1.5 hour,125.74000000000001,10.9,193.95,205.0,5.9,118.4,48.75,3977.7,6400.4,613.575,890.8,38.9,126.9
GSE38351,GSM940496,GPL570,Monocytes from healthy donor number 6 stimulated with IFNα2a for 1.5 hour,150.5,12.366666666666665,221.10000000000002,260.45,9.1,284.35,60.55,3733.6,4483.4,607.525,587.7,31.7,100.0
GSE38351,GSM940497,GPL570,Monocytes from healthy donor number 7 stimulated with IFNα2a for 1.5 hour,148.28,7.8,184.25,293.75,4.8,95.25,9.450000000000001,3762.2,4146.7,579.75,799.25,19.3,90.3
GSE38351,GSM940498,GPL570,Monocytes from healthy donor number 1 stimulated with IFNγ for 1.5 hour,166.84,5.1000000000000005,205.95000000000002,286.15,16.2,75.25,52.85,4421.9,4098.0,742.6,620.8,23.5,66.3
GSE38351,GSM940499,GPL570,Monocytes from healthy donor number 2 stimulated with IFNγ for 1.5 hour,169.37999999999997,8.766666666666667,208.79999999999998,255.0,4.4,138.7,66.75,3128.0,3920.4,841.375,299.75,27.1,68.7
GSE38351,GSM940500,GPL570,Monocytes from healthy donor number 3 stimulated with IFNγ for 1.5 hour,109.14000000000001,12.5,279.85,233.8,7.6,62.8,8.15,3991.6,3113.3,796.5,962.3,36.5,63.2
GSE38351,GSM940501,GPL570,Monocytes from healthy donor number 4 stimulated with IFNγ for 1.5 hour,189.45999999999998,8.433333333333334,182.29999999999998,225.7,14.8,123.94999999999999,40.1,3739.9,5506.0,665.575,551.3,14.6,61.9
GSE38351,GSM940502,GPL570,Monocytes from healthy donor number 5 stimulated with IFNγ for 1.5 hour,187.45999999999998,11.299999999999999,159.8,248.15,9.5,190.75,27.2,4167.2,4964.1,680.2750000000001,443.1,13.7,51.7
GSE38351,GSM940503,GPL570,Monocytes from healthy donor number 6 stimulated with IFNγ for 1.5 hour,233.4,9.466666666666667,182.29999999999998,330.8,5.3,262.05,44.95,3684.3,4516.4,794.825,377.5,23.1,58.9
